peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
124,1.0,2,163.073088135,732.630981445,92811.234375,M+H,1.0000,163.07309,1
125,1.0,0,227.188540209,249.533996582,430890.5625,M+NH4,1.0000,210.16196,2
125,1.0,1,227.188542239,250.79699707,337069.25,M+NH4,0.9410,210.16193,3
126,1.0,1,270.2193038,249.554992676,245353.203125,M+IsoProp+H,0.9410,210.16193,3
127,1.0,0,210.161959652,256.117004395,459094.09375,M+H,1.0000,210.16196,2
127,1.0,1,210.16193177,254.705993652,379170.0625,M+H,1.0000,210.16193,3
127,1.0,2,210.1619629,260.138000488,203586.703125,M+H,1.0000,210.16196,1
128,1.0,0,117.067442293,577.268005371,9219364.0,M+H,1.0000,117.06744,1
128,1.0,1,117.067418343,579.797973633,8868008.0,M+H,1.0000,117.06742,1
128,1.0,2,117.067526361,576.992004395,10738481.0,M+H,1.0000,117.06753,1
129,1.0,1,435.210657878,283.929992676,220683.21875,M+H,1.0000,435.21066,1
129,1.0,2,435.210604224,284.007995605,298694.46875,M+H,1.0000,435.21060,1
130,1.0,1,413.736571492,8.76702976227,87060.2265625,M+H,1.0000,413.73657,1
130,1.0,2,413.736549307,4.27541017532,108334.367188,M+H,1.0000,413.73655,1
