peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
7858,1.0,0,177.115322104,276.096008301,128763.523438,M+H,1.0000,177.11532,2
7859,1.0,0,209.141538651,268.437988281,92304.1328125,M+CH3OH+H,0.7130,177.11532,2
7880,1.0,0,248.141081334,253.628005981,124801.117188,M+H,1.0000,248.14108,2
7881,1.0,0,265.167631061,252.384994507,100967.570312,M+NH4,0.7290,248.14108,2
7915,1.0,0,102.04692329,248.292007446,121156.976562,M+H,1.0000,102.04692,2
7916,1.0,0,162.104313085,243.171005249,78591.171875,M+IsoProp+H,1.0000,102.04692,2
7918,1.0,0,155.09468836,315.727996826,120885.554688,M+H,1.0000,155.09469,2
7919,1.0,0,215.152115646,319.666992188,97579.7265625,M+IsoProp+H,1.0000,155.09469,2
8004,1.0,0,275.824187701,1399.39001465,109575.578125,M+H,1.0000,274.81691,2
8005,1.0,0,297.806232661,1396.84997559,64825.2460938,M+Na,1.0000,274.81691,2
8020,1.0,0,359.230716289,261.653991699,107667.296875,M+H,1.0000,358.22344,2
8021,1.0,0,400.258245833,269.684997559,98769.0078125,M+ACN+H,0.9910,358.22344,2
8075,1.0,0,192.115044326,290.37298584,101006.5625,M+H,1.0000,192.11504,2
8076,1.0,0,252.172314133,293.227996826,81135.984375,M+IsoProp+H,1.0000,192.11504,2
8083,1.0,0,260.104693607,265.57699585,100682.71875,M+H,1.0000,260.10469,2
8084,1.0,0,301.131435666,257.727996826,69043.4375,M+ACN+H,0.9990,260.10469,2
8208,1.0,0,292.167225731,253.628005981,86850.578125,M+H,0.9270,291.15995,2
8209,1.0,0,309.194275103,248.292007446,32734.671875,M+NH4,0.8130,291.15995,2
8445,1.0,0,317.892949273,1257.81994629,57260.9492188,M+H,1.0000,317.89295,2
8446,1.0,0,339.874768711,1255.06994629,31349.8398438,M+Na,1.0000,317.89295,2
8556,1.0,0,204.136112331,82.2861022949,46401.265625,M+H,1.0000,203.12884,2
8557,1.0,0,221.162682299,76.9848022461,37829.015625,M+NH4,0.5210,203.12884,2
8575,1.0,0,204.136115545,136.348999023,44669.2929688,M+H,1.0000,203.12884,2
8576,1.0,0,221.162734408,140.365005493,38027.6132812,M+NH4,0.5160,203.12884,2
8616,1.0,0,250.970774919,1380.10998535,42103.90625,M+H,1.0000,250.97077,2
8617,1.0,0,288.926761192,1378.84997559,29112.3515625,M+K,1.0000,250.97077,2
8859,1.0,1,117.07890972,530.770019531,1481823872.0,M+H,1.0000,116.07163,3
8860,1.0,1,139.060848592,530.770019531,5504830.0,M+Na,0.5080,116.07163,3
8861,1.0,1,155.034789752,525.815002441,1022130.4375,M+K,0.3980,116.07163,3
8876,1.0,1,179.094595939,374.131011963,6474839.5,M+H,1.0000,179.09460,2
8877,1.0,1,196.121190961,365.069000244,824956.4375,M+NH4,0.9950,179.09460,2
8880,1.0,1,120.057527963,235.080993652,5680319.5,M+H,1.0000,120.05753,2
8881,1.0,1,180.1150118,229.763000488,91668.203125,M+IsoProp+H,1.0000,120.05753,2
8884,1.0,1,143.058258567,451.785003662,5469587.0,M+H,1.0000,143.05826,2
8885,1.0,1,184.084780881,448.059997559,778312.0,M+ACN+H,1.0000,143.05826,2
8887,1.0,1,129.079028183,391.363006592,5155163.5,M+H,1.0000,129.07903,2
8888,1.0,1,170.105489929,400.783996582,655137.3125,M+ACN+H,0.9970,129.07903,2
8890,1.0,1,96.0211453107,662.565979004,4411247.5,M+H,1.0000,95.01387,2
8891,1.0,1,128.047295419,658.846984863,545761.5,M+CH3OH+H,1.0000,95.01387,2
8894,1.0,1,348.193710568,229.763000488,4044041.0,M+H,1.0000,348.19371,2
8895,1.0,1,386.149707633,229.763000488,518939.8125,M+K,1.0000,348.19371,2
8896,1.0,1,103.063315445,391.363006592,4032640.25,M+H,1.0000,103.06332,2
8897,1.0,1,144.089909642,391.363006592,109269.742188,M+ACN+H,1.0000,103.06332,2
8899,1.0,1,161.068769239,455.54699707,3858144.25,M+H,1.0000,160.06143,3
8900,1.0,1,183.050521439,461.74798584,240545.84375,M+Na,1.0000,160.06143,3
8901,1.0,1,199.024703382,453.065002441,178412.828125,M+K,0.9990,160.06143,3
8906,1.0,1,117.0789576,387.640014648,3507491.25,M+H,1.0000,117.07896,2
8907,1.0,1,158.10554452,390.12298584,856794.1875,M+ACN+H,1.0000,117.07896,2
8909,1.0,1,117.078965278,370.040008545,3287815.25,M+H,1.0000,117.07897,2
8910,1.0,1,158.105546852,378.218994141,479886.5625,M+ACN+H,0.9950,117.07897,2
8923,1.0,1,309.161762135,797.685974121,2638358.5,M+H,1.0000,308.15449,2
8924,1.0,1,331.143864997,800.218994141,125329.828125,M+Na,0.7340,308.15449,2
8925,1.0,1,309.161744224,797.685974121,2638358.5,M+H,1.0000,308.15447,2
8926,1.0,1,331.143844229,800.218994141,125329.828125,M+Na,0.7340,308.15447,2
8927,1.0,1,116.047359511,412.733001709,2629330.25,M+H,0.5250,115.04008,2
8928,1.0,1,198.100439913,420.17098999,1252645.625,M+2ACN+H,0.6920,115.04008,2
8937,1.0,1,136.052453978,391.363006592,2195690.0,M+H,1.0000,135.04516,5
8938,1.0,1,177.078968798,388.881988525,1938682.125,M+ACN+H,0.7850,135.04516,5
8939,1.0,1,153.078958627,388.881988525,1657635.75,M+NH4,0.5460,135.04516,5
8940,1.0,1,218.105522949,387.640014648,528127.6875,M+2ACN+H,0.4270,135.04516,5
8941,1.0,1,168.078651646,384.791992188,100941.960938,M+CH3OH+H,0.5000,135.04516,5
8945,1.0,1,168.089882477,390.12298584,1978809.5,M+H,1.0000,168.08988,2
8946,1.0,1,228.147337842,388.881988525,687049.75,M+IsoProp+H,1.0000,168.08988,2
8952,1.0,1,324.105670029,640.070983887,1867903.875,M+H,1.0000,324.10567,2
8953,1.0,1,341.132221461,633.818969727,1492826.375,M+NH4,1.0000,324.10567,2
8962,1.0,1,177.078979774,351.709991455,1667184.625,M+H,1.0000,177.07898,3
8963,1.0,1,209.10519136,349.220001221,724501.1875,M+CH3OH+H,0.8230,177.07898,3
8964,1.0,1,194.105623336,358.483001709,495579.3125,M+NH4,1.0000,177.07898,3
8967,1.0,1,194.105666406,387.640014648,608878.8125,M+ACN+H,0.4580,152.07176,2
8968,1.0,1,185.105225043,390.12298584,403041.09375,M+CH3OH+H,0.9170,152.07176,2
8972,1.0,1,205.073886465,416.450012207,1587183.25,M+H,1.0000,204.06662,2
8973,1.0,1,222.100393239,413.970001221,557598.75,M+NH4,0.3170,204.06662,2
8974,1.0,1,205.073878588,416.450012207,1587183.25,M+H,1.0000,204.06660,5
8975,1.0,1,237.100084736,412.733001709,782054.5625,M+CH3OH+H,0.3600,204.06660,5
8976,1.0,1,227.055932215,412.733001709,632031.6875,M+Na,0.4060,204.06660,5
8977,1.0,1,222.100468304,413.970001221,557598.75,M+NH4,0.3040,204.06660,5
8978,1.0,1,246.100181479,410.042999268,479499.34375,M+ACN+H,0.5190,204.06660,5
8981,1.0,1,177.078974296,416.450012207,1490504.375,M+H,1.0000,177.07897,3
8982,1.0,1,194.105567101,410.042999268,1269060.125,M+NH4,1.0000,177.07897,3
8983,1.0,1,237.136332988,410.042999268,535586.3125,M+IsoProp+H,1.0000,177.07897,3
8984,1.0,1,153.078971833,374.131011963,1474623.5,M+H,0.8970,152.07169,3
8985,1.0,1,170.105501608,376.79699707,849728.9375,M+NH4,0.7800,152.07169,3
8986,1.0,1,194.105664688,370.040008545,710021.625,M+ACN+H,0.9640,152.07169,3
8987,1.0,1,503.185132046,656.242980957,1462711.25,M+H,1.0000,503.18513,2
