peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
489,1.0,1,277.822284387,49.515499115,168050.09375,M+H,1.0000,277.82228,2
492,1.0,1,326.113200832,298.518005371,120733.15625,M+K,1.0000,288.15708,2
495,1.0,0,438.224524539,252.384994507,100769.5,M+K,1.0000,400.26856,2
498,1.0,2,173.105209716,362.489990234,995280.25,M+IsoProp+H,0.6950,113.04772,4
502,1.0,2,227.115735127,261.567993164,446406.15625,M+CH3OH+H,1.0000,195.08953,2
505,1.0,0,157.073953176,455.864990234,2108767.75,M+NH4,0.9990,140.04733,2
506,1.0,2,310.937645957,1378.31994629,210445.625,M+H,1.0000,309.93037,2
511,1.0,0,177.078989364,445.890014648,134402.25,M+CH3OH+H,1.0000,145.05277,2
513,1.0,0,492.193244504,778.739990234,208372.625,M+Na,1.0000,470.21127,2
513,1.0,1,492.19349586,778.099975586,206897.875,M+Na,1.0000,470.21127,2
515,1.0,0,207.1259051,270.932006836,201223.71875,M+ACN+H,1.0000,166.09936,2
519,1.0,2,386.13667785,243.10899353,214234.859375,M+H,1.0000,386.13668,2
519,1.0,1,386.136626755,245.654998779,267604.15625,M+H,1.0000,386.13663,2
519,1.0,0,386.136909604,248.292007446,206610.59375,M+H,1.0000,386.13691,2
520,1.0,1,156.089880484,573.617980957,448303.0625,M+ACN+H,1.0000,115.06328,4
521,1.0,2,110.059255528,399.069000244,115750.640625,M+H+NH4,0.9880,202.08417,2
522,1.0,1,277.822273638,3.31391000748,142695.28125,M+H,1.0000,277.82227,2
525,1.0,0,333.085747821,484.00201416,315657.25,M+Na,1.0000,311.10391,2
525,1.0,1,333.085905132,483.618988037,332924.09375,M+Na,1.0000,311.10396,2
525,1.0,2,333.085716609,484.334014893,305572.8125,M+Na,1.0000,311.10386,2
527,1.0,1,167.105915471,438.059997559,177099.546875,M+2ACN+H,1.0000,85.05274,2
529,1.0,0,178.110487404,409.089996338,298971.625,M+ACN+H,1.0000,137.08399,3
530,1.0,2,233.12638195,362.489990234,288848.09375,M+IsoProp+H,1.0000,173.06884,3
532,1.0,1,454.211854808,205.544006348,223133.890625,M+K,1.0000,416.25614,3
532,1.0,2,454.211880919,205.37600708,316952.75,M+K,1.0000,416.25612,2
532,1.0,0,454.212108053,203.264007568,199574.03125,M+K,1.0000,416.25622,2
533,1.0,2,228.147314681,362.489990234,783624.8125,M+ACN+H,1.0000,187.12077,2
533,1.0,0,228.147341569,363.205993652,968184.3125,M+ACN+H,0.8400,187.12080,2
533,1.0,1,228.14735686,363.82598877,835095.25,M+ACN+H,0.9330,187.12081,2
534,1.0,0,235.142038162,552.286987305,139309.40625,M+IsoProp+H,0.9980,175.08448,3
536,1.0,0,238.141320801,295.710998535,704804.875,M+H,1.0000,238.14132,3
536,1.0,1,238.141363184,295.67199707,607678.625,M+H,1.0000,238.14136,3
536,1.0,2,238.141307633,285.25201416,300407.78125,M+H,1.0000,238.14131,3
537,1.0,2,198.125611374,252.309005737,130258.789062,M+H,1.0000,197.11833,2
538,1.0,1,220.058262356,516.968994141,271272.5,M+H+K,1.0000,401.15346,2
538,1.0,0,220.058311224,517.265991211,302289.3125,M+H+K,0.8500,401.15344,2
541,1.0,0,218.10553688,377.302001953,533826.75,M+2ACN+H,0.9990,136.05246,2
547,1.0,1,155.034801854,538.226989746,567851.0625,M+2K-H,0.3950,234.15781,4
547,1.0,2,155.03486371,527.151000977,1000057.8125,M+2K-H,1.0000,234.15786,3
547,1.0,0,155.034853857,531.059020996,1131471.5,M+2K-H,1.0000,234.15786,4
548,1.0,2,154.099287987,245.585998535,429306.9375,M+H,1.0000,153.09201,2
550,1.0,0,204.13613323,240.354003906,209760.03125,M+CH3OH+H,0.4900,171.10267,2
554,1.0,1,211.120773195,285.17401123,631329.25,M+CH3OH+H,1.0000,179.09458,3
560,1.0,2,239.126773846,396.588012695,439011.875,M+2ACN+H,0.9980,157.07393,2
561,1.0,1,248.113429599,493.941009521,480494.59375,M+Na,1.0000,226.13158,2
563,1.0,2,146.077315605,611.752990723,363741.46875,M+NH4,1.0000,129.05085,2
564,1.0,2,361.225078259,210.37399292,210188.703125,M+NH4,0.8040,344.19873,5
564,1.0,0,361.225277258,212.020004272,201169.84375,M+NH4,0.6020,344.19883,5
564,1.0,1,361.225210712,209.287002563,162490.578125,M+NH4,0.8530,344.19869,4
575,1.0,0,374.216260307,407.855010986,852385.8125,M+H,1.0000,374.21626,2
584,1.0,0,201.075179419,560.986999512,131081.15625,M+2H,1.0000,401.14322,2
587,1.0,2,500.217945422,214.080993652,183344.359375,M+K,1.0000,462.26166,3
589,1.0,0,386.216557877,299.618011475,287696.6875,M+H,1.0000,385.20925,4
594,1.0,2,368.138808961,214.080993652,183067.5625,M+K,1.0000,330.18305,4
596,1.0,2,209.105183234,243.10899353,1047759.8125,M+H,1.0000,209.10518,4
596,1.0,0,209.105144675,244.410003662,1156074.875,M+H,1.0000,209.10514,2
604,1.0,1,183.05059564,461.74798584,240545.84375,M+Na,0.7060,160.06143,3
609,1.0,2,117.078927648,530.861022949,1508644736.0,M+H,1.0000,117.07893,3
609,1.0,0,117.078941457,529.820983887,1698129920.0,M+H,1.0000,117.07894,3
617,1.0,0,154.00309058,520.976013184,2828702.25,M+H,1.0000,154.00309,2
617,1.0,2,154.003159133,517.224975586,2628548.0,M+H,1.0000,154.00316,2
617,1.0,1,154.003079902,520.681030273,2585697.75,M+H,1.0000,154.00308,2
618,1.0,2,286.999363517,1325.67004395,268561.75,M+K,1.0000,249.04356,2
618,1.0,1,286.999397991,1327.20996094,257987.15625,M+K,1.0000,249.04356,2
622,1.0,1,473.188541933,418.930999756,381559.15625,M+Na,1.0000,451.20631,3
622,1.0,0,473.188353014,416.79800415,393592.28125,M+Na,0.9990,451.20625,3
622,1.0,2,473.18896557,420.897003174,233726.109375,M+Na,1.0000,451.20663,2
630,1.0,2,164.120194869,245.585998535,140094.046875,M+H,0.6590,163.11292,2
632,1.0,1,199.120819767,387.640014648,515015.28125,M+CH3OH+H,1.0000,167.09465,2
637,1.0,0,486.202171878,212.020004272,156515.546875,M+K,1.0000,448.24613,4
637,1.0,2,486.202251659,215.320007324,216090.28125,M+K,1.0000,448.24580,4
647,1.0,0,117.042571548,477.596984863,915869.4375,M+H,1.0000,117.04257,2
647,1.0,1,117.042577622,479.742004395,1004460.0625,M+H,1.0000,117.04258,2
647,1.0,2,117.042577236,475.279998779,636774.75,M+H,1.0000,117.04258,2
650,1.0,1,398.156561568,305.131011963,129705.070312,M+H,0.8530,397.14929,2
656,1.0,2,294.150762851,495.677001953,427017.53125,M+CH3OH+H,1.0000,262.12446,2
659,1.0,0,323.148151629,449.622009277,1015702.375,M+IsoProp+H,0.9970,263.09052,3
659,1.0,1,323.148026648,450.542999268,1129824.25,M+IsoProp+H,0.9190,263.09046,2
666,1.0,0,136.05240714,294.468994141,220698.03125,M+H,1.0000,136.05241,4
